WaveId, Damage, Hp, CoinRewardMin-CoinRewardMax, PercentChance
wave-01,1,3,5&10,100
wave-02,2,8,6&12,100
wave-03,4,15,7&15,50
wave-04,6,30,8&20,50
wave-05,8,50,10&23,50
wave-06,10,100,15&26,50
wave-07,12,200,20&30,50
wave-08,14,300,25&35,50
wave-09,16,500,30&40,50
wave-10,18,700,35&50,50
wave-11,20,1000,45&60,50
wave-12,22,1500,50&70,50
wave-13,24,2000,60&80,50
wave-14,26,2500,70&90,50
wave-15,28,3000,80&100,50
wave-16,30,3500,90&100,50
wave-17,32,4000,110&150,50
wave-18,34,4500,120&200,50
wave-19,36,5000,130&210,50
wave-20,38,5500,140&220,50
wave-21,40,6000,150&240,50
wave-22,42,6500,170&250,50
wave-23,44,7000,180&280,50
wave-24,46,7500,200&300,50
wave-25,48,8000,250&350,50
wave-26,50,8500,275&375,50
wave-27,52,9000,300&400,50
wave-28,54,9500,350&500,50
wave-29,56,10000,370&550,50
wave-30,58,10500,400&600,50
wave-31,60,11000,500&700,50
wave-32,62,11500,600&800,50
wave-33,64,12000,700&900,50
wave-34,66,12500,800&1000,50
wave-35,68,13000,900&1100,50
wave-36,70,13500,1000&1300,50
wave-37,72,14000,1200&1500,50
wave-38,74,14500,1300&1600,50
wave-39,76,15000,1400&1700,50
wave-40,78,15500,1500&2000,50
