WaveId, Damage, Hp, CoinRewardMin-CoinRewardMax, PercentChance
wave-25,48,3800,250&350,100
wave-26,50,4000,275&375,50
wave-27,52,4200,300&400,50
wave-28,54,4400,350&500,50
wave-29,56,4600,370&550,50
wave-30,58,4800,400&600,50
wave-31,60,5000,500&700,50
wave-32,62,5200,600&800,50
wave-33,64,5400,700&900,50
wave-34,66,5600,800&1000,50
wave-35,68,5800,900&1100,50
wave-36,70,6000,1000&1300,50
wave-37,72,6200,1200&1500,50
wave-38,74,6400,1300&1600,50
wave-39,76,6600,1400&1700,50
wave-40,78,6800,1500&2000,50
