WaveId, Damage, Hp, CoinRewardMin-CoinRewardMax, PercentChance
wave-01,1,3,5&10,100
wave-02,2,8,6&12,100
wave-03,4,15,7&15,50
wave-04,6,30,8&20,50
wave-05,8,50,10&23,50
wave-06,10,75,15&26,50
wave-07,12,100,20&30,50
wave-08,14,125,25&35,50
wave-09,16,150,30&40,50
wave-10,18,175,35&50,50
wave-11,20,200,45&60,50
wave-12,22,225,50&70,50
wave-13,24,250,60&80,50
wave-14,26,275,70&90,50
wave-15,28,300,80&100,50
wave-16,30,325,90&100,50
wave-17,32,350,110&150,50
wave-18,34,375,120&200,50
wave-19,36,400,130&210,50
wave-20,38,425,140&220,50
wave-21,40,450,150&240,50
wave-22,42,475,170&250,50
wave-23,44,500,180&280,50
wave-24,46,525,200&300,50
wave-25,48,550,250&350,50
wave-26,50,575,275&375,50
wave-27,52,600,300&400,50
wave-28,54,625,350&500,50
wave-29,56,650,370&550,50
wave-30,58,675,400&600,50
wave-31,60,700,500&700,50
wave-32,62,725,600&800,50
wave-33,64,750,700&900,50
wave-34,66,775,800&1000,50
wave-35,68,800,900&1100,50
wave-36,70,825,1000&1300,50
wave-37,72,850,1200&1500,50
wave-38,74,875,1300&1600,50
wave-39,76,900,1400&1700,50
wave-40,78,925,1500&2000,50
