WaveId, Damage, Hp, CoinRewardMin-CoinRewardMax, PercentChance
wave-01,1,3,5&10,100
wave-02,2,8,6&12,100
wave-03,4,15,7&15,50
wave-04,6,20,8&20,50
wave-05,8,30,10&23,50
wave-06,10,50,15&26,50
wave-07,12,75,20&30,50
wave-08,14,100,25&35,50
wave-09,16,125,30&40,50
wave-10,18,150,35&50,50
wave-11,20,175,45&60,50
wave-12,22,200,50&70,50
wave-13,24,225,60&80,50
wave-14,26,250,70&90,50
wave-15,28,275,80&100,50
wave-16,30,300,90&100,50
wave-17,32,325,110&150,50
wave-18,34,350,120&200,50
wave-19,36,375,130&210,50
wave-20,38,400,140&220,50
wave-21,40,425,150&240,50
wave-22,42,450,170&250,50
wave-23,44,475,180&280,50
wave-24,46,500,200&300,50
wave-25,48,525,250&350,50
wave-26,50,550,275&375,50
wave-27,52,575,300&400,50
wave-28,54,600,350&500,50
wave-29,56,625,370&550,50
wave-30,58,650,400&600,50
wave-31,60,675,500&700,50
wave-32,62,700,600&800,50
wave-33,64,725,700&900,50
wave-34,66,750,800&1000,50
wave-35,68,775,900&1100,50
wave-36,70,800,1000&1300,50
wave-37,72,825,1200&1500,50
wave-38,74,850,1300&1600,50
wave-39,76,875,1400&1700,50
wave-40,78,900,1500&2000,50
