WaveId, Damage, Hp, CoinRewardMin-CoinRewardMax, PercentChance
wave-01,1,3,5&10,100
wave-02,2,8,6&12,100
wave-03,4,15,7&15,50
wave-04,6,30,8&20,50
wave-05,8,50,10&23,50
wave-06,10,75,15&26,50
wave-07,12,100,20&30,50
wave-08,14,120,25&35,50
wave-09,16,140,30&40,50
wave-10,18,160,35&50,50
wave-11,20,180,45&60,50
wave-12,22,200,50&70,50
wave-13,24,220,60&80,50
wave-14,26,240,70&90,50
wave-15,28,260,80&100,50
wave-16,30,280,90&100,50
wave-17,32,300,110&150,50
wave-18,34,320,120&200,50
wave-19,36,340,130&210,50
wave-20,38,360,140&220,50
wave-21,40,380,150&240,50
wave-22,42,400,170&250,50
wave-23,44,420,180&280,50
wave-24,46,440,200&300,50
wave-25,48,460,250&350,50
wave-26,50,480,275&375,50
wave-27,52,500,300&400,50
wave-28,54,520,350&500,50
wave-29,56,540,370&550,50
wave-30,58,560,400&600,50
wave-31,60,580,500&700,50
wave-32,62,600,600&800,50
wave-33,64,620,700&900,50
wave-34,66,640,800&1000,50
wave-35,68,660,900&1100,50
wave-36,70,680,1000&1300,50
wave-37,72,700,1200&1500,50
wave-38,74,720,1300&1600,50
wave-39,76,740,1400&1700,50
wave-40,78,760,1500&2000,50
